,band,beak depth (mm),beak length (mm),species,year
187,515,7.9,9.8,fortis,1975
188,516,7.9,9.8,fortis,1975
189,517,10.1,10.3,fortis,1975
190,518,9.8,11.3,fortis,1975
191,519,8.3,10.0,fortis,1975
192,520,9.4,11.1,fortis,1975
193,521,9.0,10.0,fortis,1975
194,522,8.4,10.3,fortis,1975
195,524,8.7,10.2,fortis,1975
196,526,9.2,10.4,fortis,1975
197,527,9.5,11.0,fortis,1975
198,528,10.1,11.5,fortis,1975
199,529,9.8,11.8,fortis,1975
200,560,8.5,10.2,fortis,1975
201,561,10.2,11.7,fortis,1975
202,563,8.6,10.1,fortis,1975
203,564,9.3,10.2,fortis,1975
204,565,8.7,9.8,fortis,1975
205,566,8.9,10.6,fortis,1975
206,567,8.4,10.0,fortis,1975
207,572,10.3,12.1,fortis,1975
208,574,9.9,11.1,fortis,1975
209,576,8.9,10.5,fortis,1975
210,578,9.1,10.0,fortis,1975
211,579,8.6,10.2,fortis,1975
212,601,7.8,9.7,fortis,1975
213,602,8.6,10.0,fortis,1975
214,603,9.5,10.7,fortis,1975
215,604,9.5,11.0,fortis,1975
216,605,10.2,10.9,fortis,1975
217,606,9.1,10.5,fortis,1975
218,607,9.7,10.9,fortis,1975
219,608,9.4,10.7,fortis,1975
220,609,10.5,11.9,fortis,1975
221,610,9.0,10.2,fortis,1975
222,611,9.8,10.5,fortis,1975
223,615,10.0,11.2,fortis,1975
224,616,9.6,10.7,fortis,1975
225,617,9.6,10.3,fortis,1975
226,618,9.9,11.6,fortis,1975
227,619,9.3,10.5,fortis,1975
228,620,9.6,10.9,fortis,1975
229,621,7.6,9.8,fortis,1975
230,622,9.2,10.9,fortis,1975
231,623,8.8,10.3,fortis,1975
232,624,10.1,11.7,fortis,1975
233,625,8.9,11.0,fortis,1975
234,626,9.5,9.8,fortis,1975
235,627,8.2,10.4,fortis,1975
236,628,9.7,10.8,fortis,1975
237,629,9.8,11.0,fortis,1975
238,670,9.3,10.6,fortis,1975
239,671,9.8,11.3,fortis,1975
240,672,8.8,10.1,fortis,1975
241,673,10.1,11.4,fortis,1975
242,674,10.5,11.8,fortis,1975
243,675,8.6,9.9,fortis,1975
244,676,9.7,11.0,fortis,1975
245,677,10.0,10.8,fortis,1975
246,678,9.7,11.3,fortis,1975
247,679,10.5,11.1,fortis,1975
248,680,10.4,11.0,fortis,1975
249,681,9.2,10.4,fortis,1975
250,682,8.1,9.1,fortis,1975
251,683,9.4,10.8,fortis,1975
252,684,8.9,10.6,fortis,1975
253,685,8.2,8.7,fortis,1975
254,686,9.3,10.7,fortis,1975
255,687,8.6,10.3,fortis,1975
256,688,9.0,10.5,fortis,1975
257,689,7.6,9.1,fortis,1975
258,701,8.7,9.5,fortis,1975
259,702,9.8,10.8,fortis,1975
260,703,9.4,10.6,fortis,1975
261,704,9.9,9.9,fortis,1975
262,705,10.1,11.5,fortis,1975
263,706,9.8,11.2,fortis,1975
264,707,7.9,9.7,fortis,1975
265,708,10.8,12.2,fortis,1975
266,709,7.9,9.2,fortis,1975
267,710,10.0,10.5,fortis,1975
268,711,8.4,10.5,fortis,1975
269,712,9.5,10.8,fortis,1975
270,713,8.8,10.7,fortis,1975
271,714,10.4,11.8,fortis,1975
272,715,8.1,9.1,fortis,1975
273,716,9.8,10.1,fortis,1975
274,717,8.2,10.0,fortis,1975
275,719,9.5,11.0,fortis,1975
276,720,10.5,12.2,fortis,1975
277,721,9.7,11.4,fortis,1975
278,723,9.6,10.9,fortis,1975
279,725,9.6,10.6,fortis,1975
280,726,7.9,9.3,fortis,1975
281,780,10.1,10.9,fortis,1975
282,781,9.3,10.6,fortis,1975
283,785,10.3,11.0,fortis,1975
284,786,7.9,9.0,fortis,1975
285,787,9.1,11.0,fortis,1975
286,788,8.9,10.4,fortis,1975
287,789,8.3,10.4,fortis,1975
288,790,9.4,9.6,fortis,1975
289,801,9.5,10.6,fortis,1975
290,802,8.5,10.1,fortis,1975
291,803,8.6,9.7,fortis,1975
292,804,8.5,9.6,fortis,1975
293,805,8.2,10.1,fortis,1975
294,807,7.9,9.9,fortis,1975
295,808,10.0,11.0,fortis,1975
296,809,9.4,10.9,fortis,1975
297,810,8.0,9.7,fortis,1975
298,811,8.6,10.0,fortis,1975
299,812,9.0,10.4,fortis,1975
300,813,9.9,11.6,fortis,1975
301,814,8.0,9.6,fortis,1975
302,815,9.6,10.8,fortis,1975
303,817,9.2,10.9,fortis,1975
304,818,9.0,10.2,fortis,1975
305,818,9.0,10.2,fortis,1975
306,819,9.2,10.4,fortis,1975
307,820,9.5,11.0,fortis,1975
308,821,9.2,10.7,fortis,1975
309,822,9.7,11.1,fortis,1975
310,823,9.1,10.8,fortis,1975
311,824,9.4,10.9,fortis,1975
312,825,8.6,9.9,fortis,1975
313,826,9.8,11.8,fortis,1975
314,827,8.0,9.7,fortis,1975
315,828,10.4,11.9,fortis,1975
316,829,8.1,9.6,fortis,1975
317,830,9.9,10.9,fortis,1975
318,831,8.6,10.2,fortis,1975
319,891,8.0,9.9,fortis,1975
320,892,9.0,11.3,fortis,1975
321,893,9.7,10.9,fortis,1975
322,894,8.1,9.8,fortis,1975
323,895,8.8,10.3,fortis,1975
324,896,7.5,8.8,fortis,1975
325,897,10.2,11.6,fortis,1975
326,898,8.2,9.9,fortis,1975
327,899,8.6,9.9,fortis,1975
328,900,8.7,9.9,fortis,1975
329,902,8.6,10.4,fortis,1975
330,903,9.9,11.2,fortis,1975
331,904,9.5,10.8,fortis,1975
332,905,8.4,9.9,fortis,1975
333,906,8.7,9.9,fortis,1975
334,907,8.2,10.2,fortis,1975
335,908,9.2,10.4,fortis,1975
336,909,8.2,9.4,fortis,1975
337,910,9.2,10.2,fortis,1975
338,911,9.3,11.0,fortis,1975
339,912,8.9,10.6,fortis,1975
340,913,9.0,10.5,fortis,1975
341,914,9.1,10.4,fortis,1975
342,915,8.8,10.2,fortis,1975
343,917,8.8,10.2,fortis,1975
344,919,9.6,11.0,fortis,1975
345,921,10.2,11.1,fortis,1975
346,922,8.2,9.7,fortis,1975
347,923,8.9,10.5,fortis,1975
348,924,9.0,10.9,fortis,1975
349,925,8.8,10.7,fortis,1975
350,926,9.9,11.0,fortis,1975
351,927,9.3,10.9,fortis,1975
352,928,9.9,11.2,fortis,1975
353,929,9.5,11.5,fortis,1975
354,930,10.0,10.8,fortis,1975
355,931,8.9,10.2,fortis,1975
356,932,9.8,11.0,fortis,1975
357,933,9.9,10.9,fortis,1975
358,934,8.7,10.5,fortis,1975
359,936,9.2,10.8,fortis,1975
360,941,8.2,9.8,fortis,1975
361,942,7.9,9.7,fortis,1975
362,943,9.1,10.3,fortis,1975
363,944,8.3,10.3,fortis,1975
364,944,8.3,10.3,fortis,1975
365,945,10.8,11.6,fortis,1975
366,945,10.8,11.6,fortis,1975
367,951,9.9,10.9,fortis,1975
368,952,9.0,10.6,fortis,1975
369,954,9.3,11.5,fortis,1975
370,991,9.6,10.8,fortis,1975
371,1040,9.3,10.83,fortis,1975
372,1368,10.2,11.73,fortis,1975
373,1420,8.6,10.23,fortis,1975
374,1433,10.98,11.83,fortis,1975
375,1560,10.28,11.43,fortis,1975
376,1581,9.6,10.73,fortis,1975
377,1770,9.28,10.33,fortis,1975
378,1857,9.5,10.23,fortis,1975
379,1860,9.4,11.53,fortis,1975
380,1884,9.15,11.03,fortis,1975
381,2102,9.8,11.73,fortis,1975
382,2105,9.35,10.53,fortis,1975
383,2220,8.5,9.93,fortis,1975
384,2381,10.5,11.23,fortis,1975
385,2482,8.5,9.83,fortis,1975
386,2939,8.31,9.63,fortis,1975
387,2955,9.9,10.6,fortis,1975
388,2974,10.36,11.88,fortis,1975
389,3642,10.28,11.03,fortis,1975
390,8016,8.9,10.73,fortis,1975
391,8020,8.7,10.13,fortis,1975
392,20139,9.15,10.15,fortis,1975
393,20165,10.35,10.85,fortis,1975
394,20166,8.85,10.95,fortis,1975
395,20168,8.55,9.85,fortis,1975
396,20204,8.95,10.25,fortis,1975
397,20238,10.75,11.75,fortis,1975
398,20267,10.05,10.95,fortis,1975
399,20273,10.15,10.95,fortis,1975
400,20283,8.45,10.55,fortis,1975
401,20285,8.85,9.65,fortis,1975
402,20286,10.25,11.45,fortis,1975
403,20293,9.75,10.25,fortis,1975
404,20298,8.95,10.05,fortis,1975
405,302,8.4,13.9,scandens,1975
406,304,8.8,14.0,scandens,1975
407,306,8.4,12.9,scandens,1975
408,310,8.0,13.5,scandens,1975
409,317,7.9,12.9,scandens,1975
410,318,8.9,14.6,scandens,1975
411,319,8.6,13.0,scandens,1975
412,322,8.5,14.2,scandens,1975
413,325,8.9,14.0,scandens,1975
414,327,9.1,14.2,scandens,1975
415,351,8.6,13.1,scandens,1975
416,353,9.8,15.1,scandens,1975
417,357,8.2,13.5,scandens,1975
418,358,9.0,14.4,scandens,1975
419,359,9.7,14.9,scandens,1975
420,361,8.6,12.9,scandens,1975
421,362,8.2,13.0,scandens,1975
422,363,9.0,14.9,scandens,1975
423,364,8.4,14.0,scandens,1975
424,365,8.6,13.8,scandens,1975
425,367,8.9,13.0,scandens,1975
426,404,9.1,14.75,scandens,1975
427,406,8.3,13.7,scandens,1975
428,407,8.7,13.8,scandens,1975
429,408,9.6,14.0,scandens,1975
430,409,8.5,14.6,scandens,1975
431,412,9.1,15.2,scandens,1975
432,421,9.0,13.5,scandens,1975
433,429,9.2,15.1,scandens,1975
434,460,9.9,15.0,scandens,1975
435,464,8.6,12.8,scandens,1975
436,467,9.2,14.9,scandens,1975
437,469,8.4,15.3,scandens,1975
438,470,8.9,13.4,scandens,1975
439,471,8.5,14.2,scandens,1975
440,472,10.4,15.1,scandens,1975
441,478,9.6,15.1,scandens,1975
442,508,9.1,14.0,scandens,1975
443,523,9.3,13.6,scandens,1975
444,525,9.3,14.0,scandens,1975
445,562,8.8,14.0,scandens,1975
446,568,8.3,13.9,scandens,1975
447,569,8.8,14.0,scandens,1975
448,570,9.1,14.9,scandens,1975
449,571,10.1,15.6,scandens,1975
450,573,8.9,13.8,scandens,1975
451,575,9.2,14.4,scandens,1975
452,577,8.5,12.8,scandens,1975
453,612,10.2,14.2,scandens,1975
454,613,10.1,13.4,scandens,1975
455,614,9.2,14.0,scandens,1975
456,718,9.7,14.8,scandens,1975
457,722,9.1,14.2,scandens,1975
458,724,8.5,13.5,scandens,1975
459,727,8.2,13.4,scandens,1975
460,728,9.0,14.6,scandens,1975
461,729,9.3,13.5,scandens,1975
462,782,8.0,13.7,scandens,1975
463,783,9.1,13.9,scandens,1975
464,784,8.1,13.1,scandens,1975
465,806,8.3,13.4,scandens,1975
466,816,8.7,13.8,scandens,1975
467,890,8.8,13.6,scandens,1975
468,901,8.6,14.0,scandens,1975
469,916,8.7,13.5,scandens,1975
470,918,8.0,12.8,scandens,1975
471,920,8.8,14.0,scandens,1975
472,935,9.0,13.4,scandens,1975
473,953,9.1,14.9,scandens,1975
474,1014,9.74,15.54,scandens,1975
475,1642,9.1,14.63,scandens,1975
476,1748,9.8,14.73,scandens,1975
477,1841,10.4,15.73,scandens,1975
478,1842,8.3,14.83,scandens,1975
479,2084,9.44,15.94,scandens,1975
480,2397,9.04,15.14,scandens,1975
481,8110,9.0,14.23,scandens,1975
482,20122,9.05,14.15,scandens,1975
483,20151,9.65,14.35,scandens,1975
484,20188,9.45,14.95,scandens,1975
485,20210,8.65,13.95,scandens,1975
486,20223,9.45,14.05,scandens,1975
487,20225,9.45,14.55,scandens,1975
488,20252,9.05,14.05,scandens,1975
489,20255,8.75,14.45,scandens,1975
490,20266,9.45,15.05,scandens,1975
491,20279,8.35,13.25,scandens,1975
492,14613,7.0,9.1,fortis,1987
493,15487,7.12,9.14,fortis,1987
494,15187,7.21,9.24,fortis,1987
495,15284,7.3,9.2,fortis,1987
496,14983,7.32,8.83,fortis,1987
497,14913,7.41,9.14,fortis,1987
498,15726,7.42,9.04,fortis,1987
499,15821,7.43,10.56,fortis,1987
500,15484,7.45,9.7,fortis,1987
501,4968,7.5,9.25,fortis,1987
502,15695,7.5,9.5,fortis,1987
503,15272,7.51,9.34,fortis,1987
504,15256,7.51,9.64,fortis,1987
505,13907,7.64,9.04,fortis,1987
506,5578,7.65,9.8,fortis,1987
507,10376,7.68,9.28,fortis,1987
508,13377,7.7,9.5,fortis,1987
509,15225,7.8,10.8,fortis,1987
510,15914,7.81,9.24,fortis,1987
511,14760,7.81,10.24,fortis,1987
512,15779,7.86,9.74,fortis,1987
513,13901,7.9,9.2,fortis,1987
514,15277,7.9,9.95,fortis,1987
515,15285,7.92,9.34,fortis,1987
516,13194,7.92,9.35,fortis,1987
517,14967,7.92,10.1,fortis,1987
518,14800,7.93,9.96,fortis,1987
519,14612,7.95,9.27,fortis,1987
520,15154,7.95,9.4,fortis,1987
521,14123,7.96,9.68,fortis,1987
522,15368,7.97,10.19,fortis,1987
523,15873,8.0,10.0,fortis,1987
524,16027,8.0,10.25,fortis,1987
525,15353,8.0,11.3,fortis,1987
526,14265,8.02,9.83,fortis,1987
527,15014,8.02,11.04,fortis,1987
528,14969,8.03,10.16,fortis,1987
529,5627,8.03,10.74,fortis,1987
530,15973,8.06,10.19,fortis,1987
531,13468,8.09,9.46,fortis,1987
532,15214,8.1,9.5,fortis,1987
533,14978,8.1,9.7,fortis,1987
534,15909,8.1,10.0,fortis,1987
535,13996,8.1,10.05,fortis,1987
536,13543,8.1,10.3,fortis,1987
537,14634,8.1,10.5,fortis,1987
538,15804,8.11,9.94,fortis,1987
539,15493,8.11,10.04,fortis,1987
540,15363,8.11,10.24,fortis,1987
541,15286,8.2,9.2,fortis,1987
542,15019,8.2,9.3,fortis,1987
543,16112,8.21,10.04,fortis,1987
544,15270,8.21,10.34,fortis,1987
545,15874,8.21,10.34,fortis,1987
546,16007,8.22,10.04,fortis,1987
547,14860,8.23,9.86,fortis,1987
548,10313,8.24,9.73,fortis,1987
549,15490,8.25,9.45,fortis,1987
550,15106,8.25,10.0,fortis,1987
551,13539,8.27,9.78,fortis,1987
552,14912,8.28,9.64,fortis,1987
553,13244,8.3,9.8,fortis,1987
554,14822,8.3,10.0,fortis,1987
555,14909,8.3,10.0,fortis,1987
556,15944,8.3,10.8,fortis,1987
557,16170,8.31,9.64,fortis,1987
558,15477,8.31,10.14,fortis,1987
559,15111,8.31,10.24,fortis,1987
560,14686,8.31,10.74,fortis,1987
561,15915,8.31,10.74,fortis,1987
562,15759,8.31,11.14,fortis,1987
563,15850,8.31,11.24,fortis,1987
564,15977,8.32,9.84,fortis,1987
565,14632,8.33,9.86,fortis,1987
566,14982,8.33,9.96,fortis,1987
567,13306,8.34,10.57,fortis,1987
568,13351,8.35,10.0,fortis,1987
569,15288,8.35,10.95,fortis,1987
570,15079,8.36,9.89,fortis,1987
571,15402,8.36,9.99,fortis,1987
572,15248,8.4,9.1,fortis,1987
573,13881,8.4,9.8,fortis,1987
574,15879,8.4,9.85,fortis,1987
575,4830,8.4,10.0,fortis,1987
576,15679,8.4,10.0,fortis,1987
577,15806,8.4,10.0,fortis,1987
578,5887,8.4,10.18,fortis,1987
579,15845,8.4,10.4,fortis,1987
580,14890,8.4,10.9,fortis,1987
581,15875,8.41,10.04,fortis,1987
582,15381,8.41,10.14,fortis,1987
583,15382,8.41,10.24,fortis,1987
584,15453,8.41,10.54,fortis,1987
585,5555,8.42,9.04,fortis,1987
586,15127,8.42,9.24,fortis,1987
587,14628,8.43,10.06,fortis,1987
588,15379,8.43,10.26,fortis,1987
589,14939,8.45,10.2,fortis,1987
590,10100,8.45,10.93,fortis,1987
591,16172,8.47,10.64,fortis,1987
592,15188,8.47,10.74,fortis,1987
593,14611,8.5,9.4,fortis,1987
594,14025,8.5,9.55,fortis,1987
595,14970,8.5,9.8,fortis,1987
596,15970,8.5,9.83,fortis,1987
597,10760,8.5,10.0,fortis,1987
598,15706,8.5,10.0,fortis,1987
599,14762,8.5,10.3,fortis,1987
600,15829,8.5,10.6,fortis,1987
601,14743,8.5,11.5,fortis,1987
602,15933,8.51,10.24,fortis,1987
603,14836,8.51,10.5,fortis,1987
604,15940,8.51,10.84,fortis,1987
605,15995,8.52,9.94,fortis,1987
606,14704,8.53,10.36,fortis,1987
607,5685,8.55,9.8,fortis,1987
608,14833,8.56,10.09,fortis,1987
609,1536,8.6,9.8,fortis,1987
610,15163,8.6,9.9,fortis,1987
611,5556,8.6,10.0,fortis,1987
612,14902,8.6,10.0,fortis,1987
613,15342,8.6,10.0,fortis,1987
614,14894,8.6,10.1,fortis,1987
615,15761,8.6,11.3,fortis,1987
616,5628,8.6,12.0,fortis,1987
617,15497,8.61,10.14,fortis,1987
618,14932,8.61,10.34,fortis,1987
619,15374,8.61,10.34,fortis,1987
620,15175,8.61,10.54,fortis,1987
621,15724,8.61,10.54,fortis,1987
622,15680,8.61,10.94,fortis,1987
623,14827,8.61,11.04,fortis,1987
624,15296,8.61,11.14,fortis,1987
625,15711,8.61,11.14,fortis,1987
626,10066,8.61,11.24,fortis,1987
627,15322,8.61,12.14,fortis,1987
628,15262,8.62,9.94,fortis,1987
629,14840,8.62,9.95,fortis,1987
630,4229,8.62,10.05,fortis,1987
631,13195,8.62,10.35,fortis,1987
632,14829,8.63,10.86,fortis,1987
633,13994,8.64,10.18,fortis,1987
634,15464,8.65,9.45,fortis,1987
635,15865,8.66,10.19,fortis,1987
636,14831,8.66,10.84,fortis,1987
637,13269,8.7,9.4,fortis,1987
638,15184,8.7,9.5,fortis,1987
639,14096,8.7,9.8,fortis,1987
640,15245,8.7,9.85,fortis,1987
641,15143,8.7,10.0,fortis,1987
642,15712,8.7,10.1,fortis,1987
643,4715,8.7,10.4,fortis,1987
644,14832,8.7,10.45,fortis,1987
645,15757,8.7,10.57,fortis,1987
646,14694,8.7,10.8,fortis,1987
647,15388,8.7,10.9,fortis,1987
648,15224,8.7,11.4,fortis,1987
649,15018,8.71,9.64,fortis,1987
650,15981,8.71,10.04,fortis,1987
651,15228,8.71,10.24,fortis,1987
652,15663,8.71,10.44,fortis,1987
653,15983,8.71,10.54,fortis,1987
654,10198,8.71,10.64,fortis,1987
655,15657,8.71,10.84,fortis,1987
656,15990,8.71,10.94,fortis,1987
657,15123,8.71,11.14,fortis,1987
658,15855,8.71,11.14,fortis,1987
659,15005,8.71,11.29,fortis,1987
660,15617,8.71,11.79,fortis,1987
661,14880,8.72,9.84,fortis,1987
662,14742,8.72,11.15,fortis,1987
663,15080,8.73,9.76,fortis,1987
664,15273,8.73,10.06,fortis,1987
665,4859,8.73,10.87,fortis,1987
666,14767,8.73,11.86,fortis,1987
667,5602,8.74,10.83,fortis,1987
668,15978,8.76,10.39,fortis,1987
669,15246,8.76,10.64,fortis,1987
670,15264,8.77,9.7,fortis,1987
671,14867,8.77,10.09,fortis,1987
672,13687,8.77,10.67,fortis,1987
673,15306,8.77,10.95,fortis,1987
674,10347,8.79,9.96,fortis,1987
675,15420,8.8,9.7,fortis,1987
676,16016,8.8,9.97,fortis,1987
677,14042,8.8,10.1,fortis,1987
678,14797,8.8,10.37,fortis,1987
679,14761,8.8,10.9,fortis,1987
680,14858,8.8,10.9,fortis,1987
681,2749,8.8,11.1,fortis,1987
682,15244,8.8,11.15,fortis,1987
683,5872,8.8,11.8,fortis,1987
684,14680,8.81,10.14,fortis,1987
685,14763,8.81,10.19,fortis,1987
686,14892,8.81,10.24,fortis,1987
687,15176,8.81,10.24,fortis,1987
688,14795,8.81,10.54,fortis,1987
689,15040,8.81,10.54,fortis,1987
690,15733,8.81,10.54,fortis,1987
691,15367,8.81,10.74,fortis,1987
692,14535,8.81,11.24,fortis,1987
693,15268,8.81,11.24,fortis,1987
694,15883,8.82,10.05,fortis,1987
695,15220,8.82,10.24,fortis,1987
696,15430,8.82,10.94,fortis,1987
697,15404,8.86,10.59,fortis,1987
698,14841,8.87,9.9,fortis,1987
699,15313,8.87,10.04,fortis,1987
700,14868,8.87,10.35,fortis,1987
701,13385,8.87,11.2,fortis,1987
702,15301,8.88,11.8,fortis,1987
703,5626,8.89,11.1,fortis,1987
704,14928,8.9,10.0,fortis,1987
705,5965,8.9,10.1,fortis,1987
706,15182,8.9,10.1,fortis,1987
707,16162,8.9,10.13,fortis,1987
708,13582,8.9,10.2,fortis,1987
709,14811,8.9,10.33,fortis,1987
710,5669,8.9,10.4,fortis,1987
711,10703,8.9,10.4,fortis,1987
712,14684,8.9,10.7,fortis,1987
713,14809,8.9,10.7,fortis,1987
714,10548,8.9,10.9,fortis,1987
